Regime,N_obs,Pct,Price_mean,Price_std,OBI_mean,OBI_std,OFI_mean,OFI_std
0,21279,45.6%,0.3103737463981888,0.0686774980101183,0.9061668407391971,0.24227794958698134,0.27421875966890663,0.05173186159467915
1,13483,28.9%,0.3066126108253167,0.08219896290609664,0.9111490272296856,0.2767228198111915,0.39438580255077155,0.10157907604712581
2,11937,25.6%,0.3132559884406714,0.06363912638408652,0.5564047821575813,0.1896416137841351,0.2875046873108396,0.0609177152169934
